date,btc_price_usd,eth_price_usd,lpt_price_usd,btc_volume,eth_volume,lpt_volume,fear_greed_index
2022-02-18,40030.9765625,2785.7275390625,25.022808074951172,23310007704,15748173433,15616298,30.0
2022-02-19,40122.15625,2763.701171875,25.40627670288086,13736557863,9774183169,12228622,25.0
2022-02-20,38431.37890625,2628.6484375,23.758207321166992,18340576452,11641437834,16456970,27.0
2022-02-21,37075.28125,2573.816162109375,21.896465301513672,29280402798,18646392740,24983568,25.0
2022-02-22,38286.02734375,2639.29931640625,23.699790954589844,25493150450,16360200507,22522598,20.0
2022-02-23,37296.5703125,2590.359619140625,22.25290870666504,21849073843,13382637240,19698803,25.0
2022-02-24,38332.609375,2598.067138671875,22.363563537597656,46383802093,29312342666,41620846,23.0
2022-02-25,39214.21875,2764.53564453125,25.21072006225586,26545599159,17208902048,36058324,27.0
2022-02-26,39105.1484375,2781.11181640625,24.377256393432617,17467554129,11724648351,19531822,26.0
2022-02-27,37709.78515625,2621.8017578125,23.97368621826172,23450127612,16150857254,20976915,26.0
2022-02-28,43193.234375,2919.201171875,26.272184371948242,35690014104,19266124733,22145223,20.0
2022-03-01,44354.63671875,2972.485107421875,27.24201011657715,32479047645,18757425786,29933347,51.0
2022-03-02,43924.1171875,2950.118408203125,26.586156845092773,29183112630,16636517503,25581559,52.0
2022-03-03,42451.7890625,2834.468994140625,25.216257095336914,24967782593,13091199728,22194829,39.0
2022-03-04,39137.60546875,2617.156005859375,22.876100540161133,28516271427,14496939024,26045863,33.0
2022-03-05,39400.5859375,2664.8310546875,23.35033416748047,16975917450,8072368396,15309332,22.0
2022-03-06,38419.984375,2555.037353515625,22.062829971313477,19745229902,8872976607,14321543,22.0
2022-03-07,38062.0390625,2497.771240234375,22.40756607055664,28546143503,14594098731,17240132,23.0
2022-03-08,38737.26953125,2576.74755859375,23.313631057739258,25776583476,13922922903,21389238,21.0
2022-03-09,41982.92578125,2729.783447265625,25.069021224975586,32284121034,14173665398,19107797,22.0
2022-03-10,39437.4609375,2608.048583984375,24.173898696899414,31078064711,13292477213,17138722,28.0
2022-03-11,38794.97265625,2559.56298828125,22.90887451171875,26364890465,12382419582,18256836,22.0
2022-03-12,38904.01171875,2574.754150390625,23.002445220947266,14616450657,6532996574,11288635,22.0
2022-03-13,37849.6640625,2518.944580078125,22.27129554748535,17300745310,8632000379,11394399,21.0
2022-03-14,39666.75390625,2590.696044921875,23.370290756225586,24322159070,11244398839,19633773,23.0
2022-03-15,39338.78515625,2620.149658203125,23.106632232666016,23934000868,12861105614,16970910,21.0
2022-03-16,41143.9296875,2772.0556640625,24.151348114013672,39616916192,17915109769,18193228,24.0
2022-03-17,40951.37890625,2814.8544921875,24.861169815063477,22009601093,12685265194,20442845,27.0
2022-03-18,41801.15625,2945.343017578125,25.78144073486328,34421564942,15830879093,21079342,25.0
2022-03-19,42190.65234375,2946.257080078125,27.630348205566406,19664853187,11576463120,33834298,28.0
2022-03-20,41247.82421875,2860.459228515625,26.22886085510254,20127946682,12684727326,18979426,31.0
2022-03-21,41077.99609375,2897.9765625,26.78289031982422,24615543271,15206116098,18705407,30.0
2022-03-22,42358.80859375,2973.131103515625,27.96736717224121,32004652376,16830539230,26232296,26.0
2022-03-23,42892.95703125,3031.067138671875,28.530851364135742,25242943069,16008767658,18110034,31.0
2022-03-24,43960.93359375,3108.06201171875,27.9578857421875,31042992291,18070503166,18137527,40.0
2022-03-25,44348.73046875,3106.67138671875,27.751073837280273,30574413034,17030503831,10931129,47.0
2022-03-26,44500.828125,3143.178955078125,27.41815757751465,16950455995,8876420740,12041016,51.0
2022-03-27,46820.4921875,3291.57763671875,29.076961517333984,28160889722,13431866834,18892509,49.0
2022-03-28,47128.00390625,3336.634521484375,28.477802276611328,36362175703,20620450770,24557586,60.0
2022-03-29,47465.73046875,3401.98779296875,29.314165115356445,31397059069,19533323636,16722140,56.0
2022-03-30,47062.6640625,3385.157958984375,30.677898406982422,29333883962,15302506131,16236276,55.0
2022-03-31,45538.67578125,3281.642822265625,27.74138069152832,33327427106,17685495686,27005061,52.0
2022-04-01,46281.64453125,3449.55224609375,28.797454833984375,38162644287,20982988937,27221905,50.0
2022-04-02,45868.94921875,3445.059326171875,29.410829544067383,29336594194,23571556215,22236579,52.0
2022-04-03,46453.56640625,3522.83349609375,29.553298950195312,25414397610,15333808649,15921744,48.0
2022-04-04,46622.67578125,3521.2412109375,27.935075759887695,32499785455,18209969743,17258055,52.0
2022-04-05,45555.9921875,3411.79248046875,27.342693328857422,29640604055,16681503199,13244013,53.0
2022-04-06,43206.73828125,3171.69189453125,24.03171730041504,39393395788,25632563639,24554915,48.0
2022-04-07,43503.84765625,3233.274658203125,25.30129051208496,26101973106,16745496605,13955567,34.0
2022-04-08,42287.6640625,3192.073974609375,23.90633773803711,27215995394,17557050669,13741486,37.0
2022-04-09,42782.13671875,3261.916259765625,25.266916275024414,16050772496,9908112156,12650041,30.0
2022-04-10,42207.671875,3211.866943359375,24.258869171142578,17654475582,10427054790,10495653,34.0
2022-04-11,39521.90234375,2981.05224609375,22.27650260925293,33949912166,21891804831,13921044,32.0
2022-04-12,40127.18359375,3030.37646484375,23.82101058959961,30991500854,20235707410,14750202,20.0
2022-04-13,41166.73046875,3118.34423828125,24.3890438079834,27691105228,16088473629,11399874,25.0
2022-04-14,39935.515625,3019.909423828125,23.926244735717773,24342001973,15821419931,10030702,28.0
2022-04-15,40553.46484375,3040.91650390625,23.300310134887695,21756855753,11256651536,9589783,22.0
2022-04-16,40424.484375,3062.310302734375,22.98244857788086,16833150693,8766710365,6444438,28.0
2022-04-17,39716.953125,2993.4033203125,22.251798629760742,19087633042,10463091281,13521174,28.0
2022-04-18,40826.21484375,3057.606689453125,23.35869789123535,33705182072,18629381299,23436902,24.0
2022-04-19,41502.75,3104.1064453125,24.05445671081543,25303206547,14156035096,36110217,27.0
2022-04-20,41374.37890625,3077.745849609375,23.384279251098633,27819532341,15547362265,46526610,27.0
2022-04-21,40527.36328125,2987.480712890625,25.682750701904297,35372786395,20783591093,156773186,27.0
2022-04-22,39740.3203125,2964.835693359375,25.811946868896484,28011716745,16782795477,82118015,26.0
2022-04-23,39486.73046875,2938.114013671875,26.218639373779297,16138021249,9116955609,67882791,24.0
2022-04-24,39469.29296875,2922.732666015625,26.11503791809082,17964398167,9696829579,64458195,24.0
2022-04-25,40458.30859375,3009.3935546875,26.39732551574707,35445730570,22332690614,68468977,23.0
2022-04-26,38117.4609375,2808.29833984375,23.461978912353516,34569088416,19052045399,61352429,27.0
2022-04-27,39241.12109375,2888.9296875,24.726314544677734,30981015184,17419284041,43706567,21.0
2022-04-28,39773.828125,2936.94091796875,24.39971351623535,33903704907,18443524633,45351970,24.0
2022-04-29,38609.82421875,2815.601806640625,23.394081115722656,30882994649,18771041399,40701152,23.0
2022-04-30,37714.875,2730.186767578125,22.02358055114746,23895713731,13520941867,48722698,20.0
2022-05-01,38469.09375,2827.756103515625,23.07596206665039,27002760110,15332730152,52465971,22.0
2022-05-02,38529.328125,2857.410400390625,22.044578552246094,32922642426,18609741545,38424741,28.0
2022-05-03,37750.453125,2783.476318359375,21.79175567626953,27326943244,13026093219,54430093,27.0
2022-05-04,39698.37109375,2940.644775390625,23.92498207092285,36754404490,18186749944,44049775,21.0
2022-05-05,36575.140625,2749.213134765625,21.507368087768555,43106256317,22642925048,47023728,27.0
2022-05-06,36040.921875,2694.979736328125,21.766820907592773,37795577489,21027599270,51745370,22.0
2022-05-07,35501.953125,2636.093017578125,21.924955368041992,24375896406,13369276367,42617610,23.0
2022-05-08,34059.265625,2517.4599609375,20.2580509185791,36763041910,20802269935,56182651,18.0
2022-05-09,30296.953125,2245.430419921875,17.705324172973633,63355494961,36333567678,58651797,11.0
2022-05-10,31022.90625,2343.510986328125,17.714107513427734,59811038817,38202099639,70453255,10.0
2022-05-11,28936.35546875,2072.108642578125,14.340806007385254,70388855818,45743399154,57979633,12.0
2022-05-12,29047.751953125,1961.7015380859375,14.28188705444336,66989173272,42463486402,32599233,12.0
2022-05-13,29283.103515625,2014.418212890625,14.697966575622559,42841124537,24816096567,22816719,10.0
2022-05-14,30101.265625,2056.27392578125,15.077503204345703,28579868620,15457044616,15615705,9.0
2022-05-15,31305.11328125,2145.706787109375,15.813821792602539,25835372065,14846088335,15629496,10.0
2022-05-16,29862.91796875,2022.7259521484375,14.547637939453125,32613897286,21459552191,14890693,14.0
2022-05-17,30425.857421875,2090.4091796875,15.250635147094727,29101473475,18509929297,17092613,8.0
2022-05-18,28720.271484375,1916.6561279296875,13.277732849121094,31285268319,17740965589,18685909,12.0
2022-05-19,30314.333984375,2018.336181640625,14.358763694763184,33773447707,18734247914,20264031,13.0
2022-05-20,29200.740234375,1961.315673828125,15.656315803527832,30749382605,15892482289,34821346,13.0
